username,likes,followers
ecommjess,11300000,737000
kahlilgreene,10400000,625100
kareemrahma,8600,662
trashcaulin,50400000,2200000
taylorcassidyj,70200000,2200000
eco_tok,26,1
imtiffanyyu,4200000,128300
workanywhere,4800000,278000
ecofreako,286500,19200
newlifestyleabb,18900000,350400
amiemariah,7200,322
eco,8700000,173100
theconsciouslee,92000000,2400000
theshadyecologist,256600,4600
eco_og,882900,33300
jasonrodelo,25900000,933600
anania00,207100000,2300000
cheesedaily,209800000,4099999
daisyfoko,32500000,654000
elinayael_,139800000,1900000
typical_democrat,149000,10400
famousblonde,44700000,748800
laysieeeb,85600000,1500000
samvicchiollo,183100000,2200000
underthedesknews,165100000,3000000
